code,name,source,support,shrink_max
sz000026,飞亚达,auto_双阴,0.1582,0.5755
sz000831,中国稀土,auto_一阴,0.0238,1.8205
sz001696,宗申动力,auto_一阴,-0.191,5.0814
sz002191,劲嘉股份,auto_一阴,0.0773,1.7446
sz002225,濮耐股份,auto_一阴,-0.1821,2.0904
sz002601,龙佰集团,auto_一阴,-0.0085,1.7265
sh600516,方大炭素,auto_一阴,-0.0232,3.4048
sh600530,交大昂立,auto_双阴,0.018,0.5759
sh600688,上海石化,auto_一阴,0.0317,3.6079
sh600736,苏州高新,auto_双阴,0.1039,0.5851
sh603116,红蜻蜓,auto_双阴,0.0526,0.5507
sh603856,东宏股份,auto_一阴,-0.0736,2.0621
sh603886,元祖股份,auto_一阴,-0.0969,4.2761
