code,name,signal,support_pct,shrink_max_pct,finance,net_profit,report_end,ma250_status,ma250_close,ma250_value,score,decision,reason
sh600768,宁波富邦,双阴,0.67,59.5,盈利,58586816.21,2025-12-31,跌破年线(-14.5%),12.67,14.82,54,否决,浅支撑<5%(一票否决)
sh600867,通化东宝,双阴,3.86,34.0,盈利,1219052875.25,2025-12-31,跌破年线(-2.6%),8.17,8.39,72,否决,浅支撑<5%(一票否决)
sh600894,广日股份,双阴,-4.2,56.6,盈利,689310453.92,2025-12-31,跌破年线(-15.3%),7.65,9.03,54,否决,浅支撑<5%(一票否决)
sh600955,维远股份,双阴,-0.54,54.5,亏损,-991556010.36,2025-12-31,跌破年线(-27.0%),11.76,16.12,34,否决,亏损股(一票否决)
sh601199,江南水务,一阴,3.25,284.1,盈利,369634893.19,2025-12-31,年线支撑区(超MA250 2.3%) ★,5.86,5.73,57,否决,浅支撑<5%(一票否决)
sh603016,新宏泰,双阴,12.14,50.6,盈利,63681727.13,2025-12-31,跌破年线(-20.5%),26.18,32.94,84,重仓,双阴+深支撑+盈利+评分≥75 ★
sh603387,基蛋生物,双阴,-4.89,32.9,盈利,220661381.93,2025-12-31,年线支撑区(超MA250 1.3%) ★,8.62,8.51,70,否决,浅支撑<5%(一票否决)
sh603558,健盛集团,双阴,0.9,54.1,盈利,404921600.55,2025-12-31,年线上方(5.2%),11.76,11.18,61,否决,浅支撑<5%(一票否决)
sh603803,瑞斯康达,双阴,18.99,50.4,亏损,-44615370.95,2025-12-31,跌破年线(-17.6%),9.15,11.11,64,否决,亏损股(一票否决)
sh603819,神力股份,双阴,5.76,59.9,盈利,19716169.45,2025-12-31,跌破年线(-12.0%),11.03,12.53,79,重仓,双阴+深支撑+盈利+评分≥75 ★
sh605089,味知香,双阴,-5.19,58.0,盈利,68748065.57,2025-12-31,跌破年线(-29.9%),17.68,25.22,54,否决,浅支撑<5%(一票否决)
sh605319,无锡振华,双阴,1.5,52.4,盈利,465190749.41,2025-12-31,跌破年线(-11.9%),20.74,23.55,60,否决,浅支撑<5%(一票否决)
