code,name,signal,support_pct,shrink_max_pct,finance,net_profit,report_end,ma250_status,ma250_close,ma250_value,score,decision,reason
sz000958,电投产融,双阴,-11.2,34.3,盈利,3293158248.30,2025-12-31,跌破年线(-15.6%),5.29,6.27,60,否决,浅支撑<5%(一票否决)
sz002020,京新药业,一阴,0.39,247.8,盈利,757979439.23,2025-12-31,跌破年线(-20.8%),12.94,16.34,35,否决,浅支撑<5%(一票否决)
sz002152,广电运通,一阴,-6.58,217.3,盈利,860854698.13,2025-12-31,跌破年线(-16.4%),9.87,11.81,35,否决,浅支撑<5%(一票否决)
sz002191,劲嘉股份,双阴,3.26,43.5,亏损,-345939972.75,2025-12-31,跌破年线(-8.6%),3.71,4.06,49,否决,亏损股(一票否决)
sz002268,电科网安,一阴,-0.07,232.6,盈利,57645196.60,2025-12-31,跌破年线(-16.4%),14.17,16.94,35,否决,浅支撑<5%(一票否决)
sz002294,信立泰,一阴,-0.88,259.1,盈利,651504743.99,2025-12-31,跌破年线(-33.7%),31.96,48.19,35,否决,浅支撑<5%(一票否决)
sz002601,龙佰集团,双阴,12.4,57.0,盈利,1244565890.88,2025-12-31,跌破年线(-9.1%),16.42,18.06,84,重仓,双阴+深支撑+盈利+评分≥75 ★
sz002605,姚记科技,一阴,-2.41,219.4,盈利,467130452.90,2025-12-31,跌破年线(-21.6%),17.55,22.39,35,否决,浅支撑<5%(一票否决)
sh600085,同仁堂,一阴,-0.5,191.7,盈利,1189374356.88,2025-12-31,跌破年线(-17.9%),24.06,29.31,35,否决,浅支撑<5%(一票否决)
sh600120,浙江东方,一阴,2.86,205.8,盈利,934665943.32,2025-12-31,跌破年线(-13.3%),5.01,5.78,41,否决,浅支撑<5%(一票否决)
sh600872,中炬高新,一阴,0.05,175.4,盈利,537066094.75,2025-12-31,年线支撑区(超MA250 1.5%) ★,18.53,18.26,45,否决,浅支撑<5%(一票否决)
sh603630,拉芳家化,一阴,4.7,224.5,亏损,-31154170.30,2025-12-31,跌破年线(-22.3%),14.62,18.82,27,否决,亏损股(一票否决)
sh603859,能科科技,双阴,-1.36,53.1,盈利,225606538.76,2025-12-31,跌破年线(-9.8%),39.02,43.27,54,否决,浅支撑<5%(一票否决)
