code,name,signal,support_pct,shrink_max_pct,finance,net_profit,report_end,ma250_status,ma250_close,ma250_value,score,decision,reason
sz000026,飞亚达,双阴,15.82,57.6,盈利,87317829.63,2025-12-31,年线上方(15.7%),20.07,17.35,91,重仓,双阴+深支撑+盈利+评分≥75 ★
sz000831,中国稀土,一阴,2.38,182.1,盈利,172576348.02,2025-12-31,年线上方(15.2%),60.18,52.25,48,否决,浅支撑<5%(一票否决)
sz001696,宗申动力,一阴,-19.1,508.1,盈利,665514760.18,2025-12-31,跌破年线(-25.8%),15.14,20.4,35,否决,浅支撑<5%(一票否决)
sz002191,劲嘉股份,一阴,7.73,174.5,亏损,-345939972.75,2025-12-31,跌破年线(-8.9%),3.7,4.06,40,否决,亏损股(一票否决)
sz002225,濮耐股份,一阴,-18.21,209.0,盈利,86589571.64,2025-12-31,跌破年线(-29.5%),3.72,5.28,35,否决,浅支撑<5%(一票否决)
sz002601,龙佰集团,一阴,-0.85,172.7,盈利,1244565890.88,2025-12-31,跌破年线(-8.1%),16.6,18.07,35,否决,浅支撑<5%(一票否决)
sh600516,方大炭素,一阴,-2.32,340.5,盈利,93042230.07,2025-12-31,跌破年线(-9.4%),5.12,5.65,35,否决,浅支撑<5%(一票否决)
sh600567,山鹰国际,一阴,-4.48,220.7,亏损,-1135602749.34,2025-12-31,跌破年线(-15.0%),1.36,1.6,15,否决,亏损股(一票否决)
sh600688,上海石化,一阴,3.17,360.8,亏损,-1432595000.00,2025-12-31,年线支撑区(超MA250 1.4%) ★,2.94,2.9,37,否决,亏损股(一票否决)
sh600736,苏州高新,双阴,10.39,58.5,盈利,147591553.16,2025-12-31,年线上方(5.2%),6.9,6.56,91,重仓,双阴+深支撑+盈利+评分≥75 ★
sh603116,红蜻蜓,双阴,5.26,55.1,亏损,-140223830.51,2025-12-31,年线上方(7.7%),6.45,5.99,66,否决,亏损股(一票否决)
sh603856,东宏股份,一阴,-7.36,206.2,盈利,249379408.32,2025-12-31,跌破年线(-7.3%),11.49,12.39,35,否决,浅支撑<5%(一票否决)
sh603886,元祖股份,一阴,-9.69,427.6,盈利,139594221.37,2025-12-31,年线支撑区(超MA250 3.9%) ★,12.63,12.16,45,否决,浅支撑<5%(一票否决)
